Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
Oblata plenipotencji do zawarcia kontraktu wyderkafowego w imieniu starszych kahałów Ordynacji Zamojskiej,"Starsi kahałów Ordynacji Zamojskiej na mocy udzielonych im plenipotencji od starszych  zamojskich (w sądzie komisarskim zamku zamojskiego, 12 V 1710), starszych szczebrzeszyńskich (w urzędzie wójtowsko-ławniczym szczebrzeszyńskim, 9 V 1710), starszych tarnogrodzkich (w urzędzie wójtowsko-ławniczym tarnogrodzkim, 10 V 1710), starszych tomaszowskich (w urzędzie radzieckim tomaszowskim, 8 V 1710), starszych turobińskich (w urzędzie wójtowsko-ławniczym i radzieckim turobińskim, 9 V 1710) wraz z pisarzem ziemskim ordynackim Urą Joelowiczem starszym zamojskim i Zelmanem Notowiczem wiernikiem ziemskim chełmskim pożyczają na wyderkaf u Pawła Piotra Garbowskiego kustosza kamienieckiego, kanonika katedralnego chełmskiego, proboszcza skierbieszowskiego i jazłowieckiego, deputata na trybunał koronny z kapituły kamienieckiej sumę 2500 złp wraz z roczną prowizją 8 %, którą wypłacać będą w Zamościu, wyznaczają sąd komisarski zamku zamojskiego oraz sąd grodzki krasnostawski jako właściwe organy do rozstrzygania sporów w tej sprawie oraz w przypadku niedotrzymania umowy ustalają wadium równowarte sumie wyderkafowej.",The State Archive in Lublin,Krasnystaw castle court files (Księgi grodzkie krasnostawskie),"APL, CRRMO 29, s. 348r-350v",Polish,08.05.1710,Szczebrzeszyn,"Chełm (Chelm), Kamianets-Podilskyi, Krasnystaw, Skierbieszów, Szczebrzeszyn, Tarnogród, Tomaszów Lubelski, Turobin, Zamosc","Chajka Jakubowicz, Cheszel Jeruchomowicz, Chona Szmojłowicz, Garbowski Piotr, Gorek Jakubowicz, Icek Abrahamowicz, Irsz Chaimowicz, Izrael Jozwowicz, Jakub Szajewicz, Józef Jakubowicz, Kielman Lejzorowicz, Majer Szmojłowicz, Marek Lejzorowicz, Melech Moszkowicz, Michel Elukomowicz, Moszko Majerowicz, Szmol Szymachowicz, Ura Joelowicz, Wulf Nosanowicz, Zawel Dawidowicz, Zelik Cherszkowicz, Zelman Notowicz",W księgach grodzkich krasnostawskich oblatował 14 VII 1710 Todrys Moszkowicz starszy zamojski.,"asekuracja, plenipotencja, wyderkaf, ziemstwo ordynacji zamojskiej"
Mandat Karola Odrowąża Sedlnickiego w sprawie pogłównego żydowskiego od Żydów oleszyckich,"Podskarbi wielki koronny nakazuje, aby starsi ziemscy chełmscy i bełscy ulżyli gminie w Oleszycach z powodu klęski pożaru i nakazuje, aby przez trzy lata od daty wystawienia dokumentu Żydzi oleszyccy płacili tylko 600 złp pogłównego żydowskiego (kwota sprzed ostatniej aukcji podatku, podczas której podniesiono Oleszycom podatek o 350 złp).",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 345, s. 398",Polish,12.08.1749,Konstantynów,"Belz (Bełz), Chełm (Chelm), Konstantynów, Oleszyce","Sedlnicki Karol Józef Odrowąż, Strzemiński Wojciech",,"pogłówne, uniwersał, ziemstwo chełmsko-bełskie"
Manifestacja przeciw starszym ziemskim chełmskim i bełskim,"Manifestacja Wojciecha Strzemińskiego subdelegata grodzkiego bełskiego, plenipotenta Augusta Aleksandra Czartoryskiego wojewody ruskiego i jego żony Zofii Marii przeciw starszym ziemskim chełmskim i bełskim w sprawie nadmiernego obciążenia pogłównym żydowskim ich dóbr Oleszyce wbrew własnej deklaracji i dyspozycji skarbu koronnego z 1749 r (nakazującej ulgę Oleszycom z powodu pożaru) podnieśli wysokość podatku o 320 złp.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 345, s. 395-396",Latin,08.02.1751,Bełz,"Belz (Bełz), Chełm (Chelm), Oleszyce","Czartoryska Zofia Maria, Czartoryski August Aleksander, Ejzyk Józefowicz, Irsz Abraamowicz, Józef Rabinowicz, Strzemiński Wojciech, Wulf Nochymowicz",,"manifestacja, pogłówne, pożar (konflagrata), ziemstwo chełmsko-bełskie"
Manifestacja deputata chorągwi lekkiej przeciw starszym ziemskim podolskim,Manifestacja Kajetana Kulikowskiego w imieniu chorągwi lekkiej rotmistrza Sokołowskiego przeciw starszym ziemskim województwa podolskiego w sprawie niewykonania dekretu trybunału skarbowego radomskiego z 8 VI 1753 r. (pomiędzy nimi a chorągwiami Sokołowskiego i Ossolińskiego chorążego nadwornego koronnego) i niewypłacenia sumy 800 złp i przysądzonego wadium wraz z publikacją banicji.,The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 325, s. 92v-93v",Latin,04.07.1753,Lublin,"Lublin, Podolia (Podole)","Kulikowski Kajetan, Ossoliński Józef Kanty, Sokołowski",,"manifestacja, trybunał skarbowy radomski, ziemstwo podolskie"
Manifestacja plenipotentów konwentów przeciw starszym Ordynacji Zamojskiej,Pijar Bazyli od św. Floriana Grochowski jako plenipotent kolegium pijarów w Radomiu i konwentu bernardynów w Radomiu oraz Ludwik Górny Wysocki wicesyndyk konwentu bernardynów w Lublinie manifestują przeciw starszym Ordynacji Zamojskiej w sprawie niewykonania przez nich wyroku trybunału skarbowego w Radomiu z 18 VI 1753 r. (pomiędzy starszymi a chorągwią husarską prymasa Komorowskiego i innymi) i niewypłacenia przysądzonej kary tysiąca grzywien wraz z publikacją nałożonej na nich kary banicji.,The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 325, s. 266r-267v",Latin,30.07.1753,Lublin,"Lublin, Radom, Zamosc","Grochowski Bazyli od św. Floriana, Komorwski Adam Ignacy, Małachowski Cyprian, Wysocki Górny Ludwik",,"manifestacja, trybunał skarbowy radomski, ziemstwo ordynacji zamojskiej"
Manifestacja Szowela Jakubowicza wiernika Żydów wołyńskich przeciw Piotrowi Podhoreckiemu,"Manifestacja Szowela Jakubowicza rabina włodzimierskiego, wiernika Żydów wołyńskich w imieniu marszałka i całej synagogi wołyńskiej przeciw Piotrowi Podhoreckiemu cześnikowi latyczowskiemu, wierzycielowi Żydów. Starsi ziemscy wołyńscy w imieniu ziemstwa pożyczyli od Podhoreckiego sumę 11000 złp w 1739 r., ponieważ jej nie spłacili Podhorecki dołączył prowizję do kapitału, dług pomimo częściowego spłacania (na podstawie asygnacji starszych do kahałów horochowskiego, łokackiego i drużkopolskiego, potem ołyckiego i dubieńskiego) wciąż narastał, Podhorecki na sejmiku żydowskim powiatu włodzimierskiego w Milatynie 7 IX 1746 r. przyjął asygnacje do tego powiatu, których jednak powiat nie wypłacił. Szowel Jakubowicz manifestuje, że ziemstwo wołyńskie nie ma już zobowiązań wobec Podhoreckiego tylko powiat włodzimierski, Podhoreckiemu zarzuca ponadto bezprawne dopisywanie prowizji do kapitału, niewydawanie pokwitowań za spłacone asygnacje starszych ziemskich etc.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, s. 168, s. 309v-311r",Polish,22.04.1749,Włodzimierz Wołyński,"Berestechko, Druzkopol (now part of Zurawniki), Horokhiv (Ukraine), Kremenets, Lokachi, Milatyn (Volhynia), Olyka, Volodymyr-Volynsky (Włodzimierz Wołyński)","Podhorecki Piotr, Szowel Jakubowicz",,"manifestacja, zadłużenie (długi), ziemstwo wołyńskie"
Asygnacja skarbowa dla chorągwi pancernej Czackiego,Asygnacja skarbowa  dla chorągwi pancernej Szczęsnego Czackiego starosty nowogródzkiego  na pogłówne żydowskie jako suplement hiberny z miejscowości woj. wołyńskiego. Z podania Żydów łuckich:  Kołki 350 złp raty styczniowej 1749 oraz 54 złp; Czartorysk 70 z raty styczniowej; Rafałówka 160 złp raty styczniowej; Kaszówka 190 złp raty styczniowej; wieś Horodek 50 złp raty styczniowej; wieś Borowice 30 złp; wieś Czetwertnia 30 złp; z podania Żydów kowelskich: miasto Milanowice 150 złp raty styczniowej; wieś Dowkonosy 40 złp raty styczniowej; wieś Paryduby 100 złp raty styczniowej; wieś Moszczona 80 złp raty styczniowej; wieś Dubowa 80 złp raty styczniowej; wieś Hnojno 80 złp z raty styczniowej; wieś Chotezów 70 złp z raty styczniowej; arendarze ze wsi Hołoby i Masary 72 złp z raty styczniowej; wieś Pohińce Wojciszki 30 złp z raty styczniowej; wieś Musar 30 złp z raty styczniowej; miasto Kamień Koszyrski 130 złp i 29 gr z raty styczniowej.,Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 168, s. 1564r-1565v",Polish,18.10.1748,Warszawa,"Kaszowska (Volhynia), Kolky (Ukraine), Kovel, Lutsk, Rafalivka (Volhynia), Staryi Chortoryisk, Volodymyr-Volynsky (Włodzimierz Wołyński)","Błeszyński Kazimierz, Czacki Szczęsny, Opacki Jerzy, Sedlnicki Karol Odrowąż",,"asygnacja, pogłówne"
Pozew do trybunału skarbowego radomskiego dla starszych ziemskich wołyńskich i starszych kowelskich,"Pozew do trybunału skarbowego radomskiego dla ur. Opackiego towarzysza chorągwi pancernej Czackiego starosty nowogródzkiego Lejby Szmujłowicza rabina krzemienieckiego, Abrama Zelmanowicza Gierszowicza rabina ostrogskiego, Gierszona Tewelowicza rabina kisielińskiego, starszych ziemskich wołyńskich oraz Herszka Herszowicza rabina kowelskiego i starszych kowelskich z oskarżenia Teofili z Jaruzelskich Wilczyny podkomorzyny dorpackiej w sprawie nadmiernego obciążenia pogłównym żydowskim dóbr Hołob (Hołoby), należące jakoby do powiatu łuckiego.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 181r-182r","Latin, Polish",16.04.1751,Radom,"Kovel, Kremenets, Kysylyn, Ostroh (Ostróg), Volodymyr-Volynsky (Włodzimierz Wołyński)","Abram Zelmanowicz Gierszowicz, Czacki Szczęsny, Gierszon Tewelowicz, Herszko Herszowicz, Lejba Szmujłowicz, Opacki, Wilga Teofila",,"pozew, trybunał skarbowy radomski, ziemstwo wołyńskie"
Manifestacja Jana Szawłowskiego przeciw deputatowi chorągwi i starszym ziemskim wołyńskim,"Manifestacja Jana Szawłowskiego w imieniu Teofili Wilgi podkomorzyny derpskiej przeciw Antoniemu Opackiemu łowczemu latyczowskiemu, deputatowi  chorągwi pancernej Czackiego starosty nowogródzkiego oraz Lejbie Szmujłowiczowi rabinowi krzemienieckiemu, Abramowi Zelmanowiczowi Herszowiczowi rabinowi ostrowskiemu [ostrogskiemu], Gierszonowi Tewelowiczowi rabinowi kisielińskiemu, starszym ziemskim wołyńskim, a także Hercykowi Irszowiczowi rabinowi kowelskiemu, Lejbie Irszowiczowi szkolnikowi i starszym kahału kowelskiego w sprawie wpisania do dyspartymentu powiatu włodzimierskiego dóbr T. Wilczyny Hołoby, należących do powiatu łuckiego, znaczącego zwiększenia wymiaru podatku, a także niesłusznego pozwania  dziedziczki do trybunału skarbowego radomskiego.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 1664-167r",Polish,15.04.1751,Włodzimierz Wołyński,"Kovel, Kremenets, Kysylyn, Lutsk, Ostroh (Ostróg), Volodymyr-Volynsky (Włodzimierz Wołyński)","Abram Zelmanowicz Herszowicz, Czacki Szczęsny, Gierszon Tewelowicz, Hercyk Irszowicz, Lejba Irszowicz, Lejba Szmujłowicz, Opacki Antoni, Szawłowski Jan, Wilga Teofila",,"manifestacja, trybunał skarbowy radomski, ziemstwo wołyńskie"
Manifestacja przeciw starszym ziemskim wołyńskim,"Manifestacja Mateusza Zaleskiego w imieniu Rafała Pieściorowskiego regenta grodzkiego włodzimierskiego i innych dziedziców dóbr Huńczy Bród i Dozdnie przeciw Szowelowi Jakubowiczowi rabinowi włodzimierskiemu, marszałkowi synagog województwa wołyńskiego, pozostałym starszym ziemskim wołyńskim oraz Lejbie Bieniewiczowi pisarzowi synagogi kowelskiej i całemu kahałowi kowelskiemu w sprawie znaczącego zwiększenia obciążenia pogłównym żydowskim arendarzy w tych dobrach, które od lat płaciło pogłówne na asygnacje dla chorągwi Łosia kasztelana kamienieckiego i Czackiego starosty nowogródzkiego.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 182rv",Polish,26.04.1751,Włodzimierz Wołyński,"Kovel, Volodymyr-Volynsky (Włodzimierz Wołyński)","Czacki Szczęsny, Lejba Bieniewicz, Pieściorowski Rafał, Szowel Jakubowicz, Zaleski Mateusz, Łoś Michał",,"manifestacja, pogłówne, ziemstwo wołyńskie"
Manifestacja Szymona Winnickiego przeciw plenipotentowi synagogi wołyńskiej,"Szymon Winnicki komisarz Stefana Czackiego łowczego wołyńskiego manifestuje przeciw Abramkowi Warkowickiemu plenipotentowi synagogi wołyńskiej, którego działania (wymuszenie asekuracji od manifestującego, areszt statków w Gdańsku) spowodowały, że Czacki nie otrzymał prowizji od rabinów [zapewne chodzi o wierników synagogi wołyńskiej Szowela Jakubowicza i Lejbę Szmujłowicza].",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 168, s. 623v-624r",Polish,24.09.1749,Włodzimierz Wołyński,"Gdańsk, Volodymyr-Volynsky (Włodzimierz Wołyński)","Abramko Warkowicki, Czacki Stefan, Lejba Szmujłowicz, Szowel Jakubowicz, Winnicki Szymon",,"manifestacja, ziemstwo wołyńskie"
Manifestacja gubernatora niesuchojskiego przeciw kahałowi kowelskiemu,"Manifestacja Jana Hołozuba gubernatora klucza niesuchojskiego [miasteczko Niesuchoiże, obecnie wieś  Wola], należącego do Ignacego Sapiehy podskarbiego nawornego litewskiego przeciw kahałowi kowelskiemu w sprawie znacznego obciążenia kahału niesuchojskiego w swoim dyspartymencie (jakoby na zniesienie długów). Hołozub oświadcza, że nie pozwoli miejscowym Żydom zapłacić więcej niż w dawniejszych dyspartymentach.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA KIjów, Fond 28, op. 1, sp. 168, s. 675v-675v",Polish,14.10.1749,Włodzimierz Wołyński,"Kovel, Volodymyr-Volynsky (Włodzimierz Wołyński)","Hołozub Jan, Sapieha Ignacy",,
Manifestacja deputata chorągwi przeciw Żydom turzyskim i starszym ziemskim włodzimierskim,"Paweł Podwysocki stolnik czerski, deputat chorągwi pancernej Wielopolskiego starosty żarnowieckiego manifestuje przeciw Żydom turzyskim i starszym ziemskim włodzimierskim, iż nie mógł odebrać pełnej sumy hiberny z raty pogłównego żydowskiego za 1749 rok, zgodnie z asygnacją podskarbiego koronnego z 18 X 1748, od Żydów turzyskich z powodu ich ubóstwa. Odebrał jedynie 550 złp (tyle ile płacili w poprzednich latach), a nie 785 złp i 22 gr zapisane w asygnacji.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 168, s. 6r-7r",Polish,08.01.1749,Włodzimierz Wołyński,"Turiisk (Ukraine), Volodymyr-Volynsky (Włodzimierz Wołyński)","Ossoliński Józef, Podwysocki Paweł, Sedlnicki Karol Odrowąż, Wielopolski",,"asygnacja, manifestacja, pogłówne"
Manifestacja gubernatora łokackiego przeciw wiernikom Żydów wołyńskich,"Józef Budzyński gubernator łokacki w imieniu dziedzica Janusza Sanguszki miecznika litewskiego, Teofili Wilgi podkomorzyny derpskiej, generał-majorowej wojsk koronnych, posesorki Łokacz, manifestuje przeciw Szowelowi Jakubowiczowi rabinowi włodzimierskiemu i Lejbie Szmujłowiczowi rabinowi krzemienieckiemu, wiernikom, którym zarzuca, że bez zgody kahałów zaciągają pożyczki na podpisywane tylko przez siebie skrypty dłużne, a pieniądze obracają na własne potrzeby i oświadcza, że te skrypty dłużne są nieważne (w tym ostatni na dług zaciągnięty u Stefana Czackiego łowczego wołyńskiego).",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 166, s. 194rv",Polish,14.04.1747,Włodzimierz Wołyński,"Kremenets, Lokachi, Volodymyr-Volynsky (Włodzimierz Wołyński)","Budzyński Józef, Czacki Stefan, Lejba Szmujłowicz, Sanguszko Janusz, Szowel Jakubowicz, Wilga Teofila",,"manifestacja, zadłużenie (długi), ziemstwo wołyńskie"
Akt egzekucji dekretu trybunału koronnego w Włodzimierzu Wołyńskim,"Akt egzekucji kondemnaty (z 10 X 1748 r.)  trybunału koronnego lubelskiego w Włodzimierzu Wołyńskim (przed domem Szowela Jakubowicza rabina włodzimierskiego) pomiędzy Michałem Wielhorskim starostą sieleckim a kahałami włodzimierskim, krzemienieckim i chełmskim w sprawie nadmiernego obciążenia Żydów horochowskich i cieszanowskich. Sprawa została ponownie odesłana do trybunału po odrzuceniu egzekucji przez Szowela Jakubowicza, który twierdził, że wraz z rabinem krzemienieckim ""do partykularnych nic nie należymy, ale do generalnych [dypartymentów] całego województwa wołyńskiego, a co większa, że sami starsi kahalni horochowscy  corocznie na ten pozwalają podatek"".",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 168, s. 1260r-1261v",Polish,21.06.1749,Włodzimierz Wołyński,"Cieszanów, Horokhiv (Ukraine), Kremenets, Lublin, Volodymyr-Volynsky (Włodzimierz Wołyński)","Lejba Szmujłowicz, Szowel Jakubowicz, Wielhorski Michał",,"egzekucja dekretu, trybunał koronny"
Manifestacja w imieniu dziedzica Turzysk przeciw starszym ziemskim włodzimierskim,"Piotr Lipowski burgrabia nurski manifestuje w imieniu dziedzica Turzysk chorążego nadwornego koronnego Józefa Ossolińskiego przeciw Szowelowi Jakubowiczowi  rabinowi włodzimierskiemu, pisarzowi Żydów wołyńskich, Lejbie Rudemu, Markowi Josiewiczowi Bezruczce i wszystkim starszym rozkładającym pogłówne żydowskie w sprawie nadmiernego obciążenia Żydów w Turzyskach podatkiem, zamiast płaconych do tej pory 550 złp, nałożyli kwotę 785 złp i 22 gr.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 168, s. 59v-60r",Polish,12.02.1749,Włodzimierz Wołyński,"Turiisk (Ukraine), Volodymyr-Volynsky (Włodzimierz Wołyński)","Lejba Rudy, Lipowski Piotr, Marek Josiowicz Bezruczka, Ossoliński Józef, Szowel Jakubowicz",,"manifestacja, pogłówne, ziemstwo wołyńskie"
Asekuracja Szowela Jakubowicza wiernika Żydów wołyńskich dla kahału turzyskiego,"Szowel Jakubowicz rabin włodzimierski  i wiernik Żydów wołyńskich, w swoim oraz Lejby Szmujłowicza rabina krzemienieckiego imieniu wystawia asekurację dla kahału turzyskiego. W zamian za spłacanie rat przez pięć lat długu 3000 złp zaciagniętego przez ziemstwo u Józefa Ossolińskiego chorążego nadwornego koronnego kahał turzyski będzie zwolniony od płacenia pogłównego żydowskiego.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 567v-569r",Polish,26.11.1750,Turzysk,"Kremenets, Turiisk (Ukraine), Volodymyr-Volynsky (Włodzimierz Wołyński)","Lejba Szmujłowicz, Osssoliński Józef, Romanowski Grzegorz, Szowel Jakubowicz",,"asekuracja, zadłużenie (długi), ziemstwo wołyńskie"
Asekuracja Szowela Jakubowicza rabina włodzimierskiego dla Ossolińskiego chorążego nadwornego koronnego,"Szowel Jakubowicz rabin włodzimierski, pisarz generalny Żydów wołyńskich, w swoim i Lejby Szmujłowicza rabina krzemienieckiego imieniu poźycza od Józefa Ossolińskiego chorążego nadwornego koronnego 3000 złp na ważne potrzeby ziemstwa wołyńskiego, które ma zwracać kahał turzyski w ratach przez pięć lat (do 1756).",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 565r-567v",Polish,26.11.1750,Turzysk,"Kremenets, Turiisk (Ukraine), Volodymyr-Volynsky (Włodzimierz Wołyński)","Lejba Szmujłowicz, Ossoliński Józef, Romanowski Grzegorz, Szowel Jakubowicz",,"asekuracja, zadłużenie (długi), ziemstwo wołyńskie"
Pozew do trybunału koronnego lubelskiego dla starszych ziemskich wołyńskich oraz bełskich i chełmskich,"Pozew do trybunału koronnego lubelskiego dla Lejby Szmujłowicza rabina krzemienieckiego, Szewela Jakubowicza rabina włodzimierskiego i starszych ziemskich chełmskich, bełskich i wołyńskich z oskarżenia starszych horochowskich i cieszanowskich oraz dziedzica Michała Wielhorskiego starosty sieleckiego w sprawie nadmiernego obciążenia pogłównym, bez uwzględnienia zniszczenia całego Horochowa w pożarze.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 277r-278r","Latin, Polish",05.05.1751,Lublin,"Belz (Bełz), Chełm (Chelm), Cieszanów, Horokhiv (Ukraine), Kremenets, Lublin, Volodymyr-Volynsky (Włodzimierz Wołyński)","Lejba Szmujłoiwcz, Szowel Jakubowicz, Wielhorski Michał",,"pozew, trybunał koronny, ziemstwo chełmsko-bełskie, ziemstwo wołyńskie"
Pozew do trybunału skarbowego radomskiego dla starszych ziemskich wołyńskich,"Antoni Domaracki towarzysz chorągwi lekkiej Węgierskiego miecznika kaliskiego pozywa do trybunału skarbowego radomskiego Szowela Jakubowicza rabina włodzimierskiego i innych starszych ziemskich wołyńskich (na podstawie kondemnat uzyskanych wcześniej, a zwłaszcza w dn. 15 VI 1750 r.) w sprawie narażenia na niepotrzebne koszty przez wystawienie dyspartymentu z miejscami bez Żydów [tu: ""nieznajdujących się w horyzoncie""].",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 221v-222v",Polish,26.04.1751,Radom,"Radom, Volodymyr-Volynsky (Włodzimierz Wołyński)","Domaracki Antoni, Szowel Jakubowicz, Węgierski",,"pozew, trybunał skarbowy radomski, ziemstwo wołyńskie"
Pozew deputata chorągwi hetmana koronnego dla starszych ziemskich i kahału włodzimierskiego,"Pozew do trybunału skarbowego dla Marka Josiowicza Bezruczki, Gerszona Tewelowicza, Lejby Zelmanowicza Rudego starszych ziemskich oraz Zyskiela Zamojskiego, Berka Aronowicza, Uszera Lejbowicza i innym starszych kahalnych włodzimierskich z oskarżenia Antoniego Jaślikowskiego [albo Jarlikowskiego] starosty parnawskiego, deputata chorągwi husarskiej kasztelana krakowskiego i hetmana koronnego [Józefa Potockiego] w sprawie niewypłacenia asygnacji skarbowej z 18 X 1750 r., w której wyznaczono sumę 1686 złp i 11 gr do Szowela Jakubowicza rabina włodzimierskiego.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 239r-240r",Polish,14.04.1751,Radom,Volodymyr-Volynsky (Włodzimierz Wołyński),"Berek Aronowicz, Gerszon Tewelowicz, Jaślikowski Antoni, Lejba Zelmanowicz Rudy, Marko Josiowicz Bezruczka, Potocki Józef, Szowel Jakubowicz, Uszer Lejbowicz, Zyskiel Zamojski",Relacja położenia pozwu w aktach grodzkich włodzimierskich 12 V 1751 r.,"asygnacja, pozew, trybunał skarbowy radomski, ziemstwo wołyńskie"
Manifestacja przeciw marszałkom Żydów wołyńskich i Żydom kowelskim,Gabriel Baranowski manifestuje w imieniu właścicieli wsi Libitów [wł. Lubitów] i Wólka Libitowska [wł. Wólka Lubitowska] przeciw marszałkom i starszym ziemskim wołyńskim oraz Żydom kowelskim w sprawie nadmiernego obciążania podatkami arendarzy z tych dóbr.,Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 64rv",Polish,26.01.1751,Włodzimierz Wołyński,"Kovel, Volodymyr-Volynsky (Włodzimierz Wołyński)",Baranowski Gabriel,,"manifestacja, ziemstwo wołyńskie"
Manifestacja w imieniu kahału włodzimierskiego,"Marko Lejbowicz szkolnik i Ezor (Ojzer) Moszkowicz kantor włodzimierscy manifestują w imieniu kahału włodzimierskiego o nieważności kontraktów, zapisów,  a szczególnie niewypełnionych skryptów dłużnych, powierzonych przez kahał Szowelowi Jakubowiczowi rabinowi włodzimierskiemu, wiernikowi Żydów koronnych, które zostały zabrane wraz z rzeczami jego byłej żony - neofitki Józefiny.",Central State Historical Archives of Ukraine in Kyiv,Wlodzimierz castle court files (Księgi grodzkie włodzimierskie),"CGIA Kijów, Fond 28, op. 1, sp. 170, s. 33v-34v",Polish,08.01.1751,Włodzimierz Wołyński,Volodymyr-Volynsky (Włodzimierz Wołyński),"Ezor Moszkowicz, Józefina, Marko Lejbowicz, Szowel Jakubowicz",,manifestacja
Manifestacja deputata chorągwi przeciwko komisarzowi dóbr i Żydom przyłuskim,"Manifestacja Stanisława Popławskiego podstolego dzwinogrodzkiego, towarzysza chorągwi pancernej królewicza Ksawerego przeciwko Józefowi Kropiwnickiemu podczaszemu mścisławskiemu, komisarzowi klucza przyłuskiego oraz rabinowi i kahałowi przyłuskiemu w sprawie niewypłacenia asygnacji skarbowej na kwotę 200 złp (z podania Żydów powiatowych ruskich w racie styczniowej 1751 r.) pomimo uzyskanej kondemnaty w trybunale skarbowym radomskim 14 VI 1751 r.",Central State Historical Archives of Ukraine in Lviv,Busk castle court files (Księgi grodzkie buskie),"CGIA Lwów, Fond 3, op. 1, sp. 34, s. 519-520",Latin,09.06.1752,Busk,Busk,"Kropiwnicki Józef, Popławski Stanisław",,"asygnacja, manifestacja, ziemstwo ruskie"
List wojewody bełskiego do starszych ziemskich bełskich,"Wojewoda bełski Antoni Michał Potocki zaleca starszym ziemski województwa bełskiego, aby uwzględnili trudną sytuację Żydów w Busku, zniszczonym w pożarze i zmniejszyli przypadające na nich obciążenia.",Central State Historical Archives of Ukraine in Lviv,Busk castle court files (Księgi grodzkie buskie),"CGIA Lwów, Fond 3, op. 1, sp. 34, s. 1146-1147",Polish,12.05.1752,Busk,"Belz (Bełz), Busk","Fiszel Anczelowicz, Nuchim Berkowicz, Potocki Antoni Michał",,ziemstwo chełmsko-bełskie
Libertacja Karola Odrowąża Sedlnickiego dla gminy w Busku,"Karol Odrowąż Sedlnicki podskarbi wielki koronny poleca starszym ziemskim województwa bełskiego uwzględnić trudną sytuację Żydów buskich, zniszczonych w pożarze, i nakazuje zmniejszyć wysokość pogłównego żydowskiego przypadającą na tą gminę.",Central State Historical Archives of Ukraine in Lviv,Busk castle court files (Księgi grodzkie buskie),"CGIA Lwów, Fond 3, op. 1, sp. 34, s. 1146-1147",Polish,21.09.1753,Konstantynów,"Belz (Bełz), Busk, Konstantynów","Fiszel Anczelowicz, Nuchim Berkowicz, Sedlnicki Karol Odrowąż",,"libertacja (zwolnienie), pogłówne, pożar (konflagrata), ziemstwo chełmsko-bełskie"
